strain,virus,date,region,country,division,location
GCA_001011535.1_ASM101153v1_genomic.fna,Klebsiella aerogenes,2007-XX-XX,?,USA,?,USA
GCA_001518035.1_ASM151803v1_genomic.fna,Klebsiella aerogenes,2008-XX-XX,?,USA,?,USA
GCA_001011615.1_ASM101161v1_genomic.fna,Klebsiella aerogenes,2009-XX-XX,?,USA,?,USA
GCA_001011175.1_ASM101117v1_genomic.fna,Klebsiella aerogenes,2009-XX-XX,?,USA,?,USA
GCA_001518115.1_ASM151811v1_genomic.fna,Klebsiella aerogenes,2010-XX-XX,?,USA,?,USA
GCA_001011355.1_ASM101135v1_genomic.fna,Klebsiella aerogenes,2010-XX-XX,?,USA,?,USA
GCA_001011545.1_ASM101154v1_genomic.fna,Klebsiella aerogenes,2010-XX-XX,?,USA,?,USA
GCA_001011645.1_ASM101164v1_genomic.fna,Klebsiella aerogenes,2010-XX-XX,?,USA,?,USA
GCA_001011575.1_ASM101157v1_genomic.fna,Klebsiella aerogenes,2011-XX-XX,?,USA,?,USA
GCA_001631815.1_ASM163181v1_genomic.fna,Klebsiella aerogenes,2011-XX-XX,?,USA,?,USA
GCA_001011335.1_ASM101133v1_genomic.fna,Klebsiella aerogenes,2012-XX-XX,?,USA,?,USA
GCA_001011935.1_ASM101193v1_genomic.fna,Klebsiella aerogenes,2012-XX-XX,?,USA,?,USA
GCA_001011915.1_ASM101191v1_genomic.fna,Klebsiella aerogenes,2013-XX-XX,?,USA,?,USA
GCA_001011815.1_ASM101181v1_genomic.fna,Klebsiella aerogenes,2013-XX-XX,?,USA,?,USA
GCA_001631345.1_ASM163134v1_genomic.fna,Klebsiella aerogenes,2013-XX-XX,?,USA,?,USA
GCA_001631645.1_ASM163164v1_genomic.fna,Klebsiella aerogenes,2013-XX-XX,?,USA,?,USA
GCA_001631305.1_ASM163130v1_genomic.fna,Klebsiella aerogenes,2013-XX-XX,?,USA,?,USA
GCA_001631565.1_ASM163156v1_genomic.fna,Klebsiella aerogenes,2013-XX-XX,?,USA,?,USA
GCA_001631185.1_ASM163118v1_genomic.fna,Klebsiella aerogenes,2013-XX-XX,?,USA,?,USA
GCA_001518675.1_ASM151867v1_genomic.fna,Klebsiella aerogenes,2013-XX-XX,?,USA,?,USA
GCA_001518125.1_ASM151812v1_genomic.fna,Klebsiella aerogenes,2014-XX-XX,?,USA,?,USA
GCA_001631655.1_ASM163165v1_genomic.fna,Klebsiella aerogenes,2014-XX-XX,?,USA,?,USA
GCA_001631215.1_ASM163121v1_genomic.fna,Klebsiella aerogenes,2014-XX-XX,?,USA,?,USA
GCA_001631755.1_ASM163175v1_genomic.fna,Klebsiella aerogenes,2014-XX-XX,?,USA,?,USA
GCA_001631315.1_ASM163131v1_genomic.fna,Klebsiella aerogenes,2014-XX-XX,?,USA,?,USA
GCA_001631895.1_ASM163189v1_genomic.fna,Klebsiella aerogenes,2014-XX-XX,?,USA,?,USA
GCA_001631725.1_ASM163172v1_genomic.fna,Klebsiella aerogenes,2014-XX-XX,?,USA,?,USA
GCA_001631735.1_ASM163173v1_genomic.fna,Klebsiella aerogenes,2015-XX-XX,?,USA,?,USA
GCA_000215745.1_ASM21574v1_genomic.fna,Klebsiella aerogenes,2012-XX-XX,?,USA,?,USA
GCA_002003705.1_ASM200370v1_genomic.fna,Klebsiella aerogenes,2010-XX-XX,?,Brazil,?,Brazil
GCA_000692155.1_Ente_aero_MGH_61_V1_genomic.fna,Klebsiella aerogenes,2013-XX-XX,?,USA,?,USA
GCA_000692175.1_Ente_aero_MGH_62_V1_genomic.fna,Klebsiella aerogenes,2013-XX-XX,?,USA,?,USA
GCA_000692195.1_Ente_aero_MGH_77_V1_genomic.fna,Klebsiella aerogenes,2013-XX-XX,?,USA,?,USA
GCA_000692215.1_Ente_aero_MGH_78_V1_genomic.fna,Klebsiella aerogenes,2013-XX-XX,?,USA,?,USA
GCA_002152895.1_ASM215289v1_genomic.fna,Klebsiella aerogenes,2015-XX-XX,?,USA,?,USA
GCA_000802765.1_SPADES_assembly_of_Enterobacter_cloacae_ND17_genomic.fna,Klebsiella aerogenes,2012-XX-XX,?,USA,?,USA
GCA_900119335.1_IMG-taxon_2602042109_annotated_assembly_genomic.fna,Klebsiella aerogenes,2014-XX-XX,?,USA,?,USA
GCA_001473095.1_SMART_1060.v1_genomic.fna,Klebsiella aerogenes,2013-XX-XX,?,Saudi Arabia,?,Saudi Arabia
GCA_001525505.1_ASM152550v1_genomic.fna,Klebsiella aerogenes,2014-XX-XX,?,Turkey,?,Turkey
GCA_001525265.1_ASM152526v1_genomic.fna,Klebsiella aerogenes,2014-XX-XX,?,Turkey,?,Turkey
GCA_001525245.1_ASM152524v1_genomic.fna,Klebsiella aerogenes,2014-XX-XX,?,Colombia,?,Colombia
GCA_001472155.1_SMART_350.v1_genomic.fna,Klebsiella aerogenes,2011-XX-XX,?,Canada,?,Canada
GCA_001472275.1_SMART_429.v1_genomic.fna,Klebsiella aerogenes,2011-XX-XX,?,Tunisia,?,Tunisia
GCA_001472415.1_SMART_543.v1_genomic.fna,Klebsiella aerogenes,2011-XX-XX,?,USA,?,USA
GCA_001472725.1_SMART_773.v1_genomic.fna,Klebsiella aerogenes,2012-XX-XX,?,Brazil,?,Brazil
GCA_001472755.1_SMART_774.v1_genomic.fna,Klebsiella aerogenes,2012-XX-XX,?,Brazil,?,Brazil
GCA_001472935.1_SMART_888.v1_genomic.fna,Klebsiella aerogenes,2013-XX-XX,?,Guatemala,?,Guatemala
GCA_000534335.1_Ente_aero_UCI_15_V1_genomic.fna,Klebsiella aerogenes,2013-XX-XX,?,USA,?,USA
GCA_000534315.1_Ente_aero_UCI_16_V1_genomic.fna,Klebsiella aerogenes,2013-XX-XX,?,USA,?,USA
GCA_000534255.1_Ente_aero_UCI_27_V1_genomic.fna,Klebsiella aerogenes,2013-XX-XX,?,USA,?,USA
GCA_000534235.1_Ente_aero_UCI_28_V1_genomic.fna,Klebsiella aerogenes,2013-XX-XX,?,USA,?,USA
GCA_000534135.1_Ente_aero_UCI_45_V1_genomic.fna,Klebsiella aerogenes,2013-XX-XX,?,USA,?,USA
GCA_000534115.1_Ente_aero_UCI_46_V1_genomic.fna,Klebsiella aerogenes,2013-XX-XX,?,USA,?,USA
GCA_000534095.1_Ente_aero_UCI_47_V1_genomic.fna,Klebsiella aerogenes,2013-XX-XX,?,USA,?,USA
GCA_000534075.1_Ente_aero_UCI_48_V1_genomic.fna,Klebsiella aerogenes,2013-XX-XX,?,USA,?,USA
GCA_002152915.1_ASM215291v1_genomic.fna,Klebsiella aerogenes,2015-XX-XX,?,USA,?,USA
GCA_002152925.1_ASM215292v1_genomic.fna,Klebsiella aerogenes,2015-XX-XX,?,USA,?,USA
GCA_001030125.1_Ente_aero_UCI89_V1_genomic.fna,Klebsiella aerogenes,2014-XX-XX,?,?,?,?
GCA_001030165.1_Ente_aero_UCI90_V1_genomic.fna,Klebsiella aerogenes,2014-XX-XX,?,?,?,?
GCA_001030185.1_Ente_aero_UCI97_V1_genomic.fna,Klebsiella aerogenes,2014-XX-XX,?,?,?,?
GCA_001030055.1_Ente_aero_UCI98_V1_genomic.fna,Klebsiella aerogenes,2014-XX-XX,?,?,?,?
